USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Flower Petunia-3 White       W1R1Fa AREF
copy of splib05a r 11068                                    
       1.007000       0.699753       0.000000
       1.008000       0.699994       0.000000
       1.009000       0.700540       0.000000
       1.010000       0.701313       0.000000
       1.011000       0.702088       0.000000
       1.012000       0.702692       0.000000
       1.013000       0.703149       0.000000
       1.014000       0.703534       0.000000
       1.015000       0.703920       0.000000
       1.016000       0.704383       0.000000
       1.017000       0.704989       0.000000
       1.018000       0.705719       0.000000
       1.019000       0.706482       0.000000
       1.020000       0.707192       0.000000
       1.021000       0.707851       0.000000
       1.022000       0.708528       0.000000
       1.023000       0.709289       0.000000
       1.024000       0.710115       0.000000
       1.025000       0.710919       0.000000
       1.026000       0.711623       0.000000
       1.027000       0.712234       0.000000
       1.028000       0.712831       0.000000
       1.029000       0.713490       0.000000
       1.030000       0.714213       0.000000
       1.031000       0.714949       0.000000
       1.032000       0.715648       0.000000
       1.033000       0.716305       0.000000
       1.034000       0.716954       0.000000
       1.035000       0.717625       0.000000
       1.036000       0.718316       0.000000
       1.037000       0.719002       0.000000
       1.038000       0.719657       0.000000
       1.039000       0.720273       0.000000
       1.040000       0.720853       0.000000
       1.041000       0.721404       0.000000
       1.042000       0.721928       0.000000
       1.043000       0.722425       0.000000
       1.044000       0.722897       0.000000
       1.045000       0.723343       0.000000
       1.046000       0.723763       0.000000
       1.047000       0.724158       0.000000
       1.048000       0.724543       0.000000
       1.049000       0.724944       0.000000
       1.050000       0.725384       0.000000
       1.051000       0.725850       0.000000
       1.052000       0.726300       0.000000
       1.053000       0.726695       0.000000
       1.054000       0.727023       0.000000
       1.055000       0.727293       0.000000
       1.056000       0.727517       0.000000
       1.057000       0.727720       0.000000
       1.058000       0.727941       0.000000
       1.059000       0.728213       0.000000
       1.060000       0.728523       0.000000
       1.061000       0.728818       0.000000
       1.062000       0.729050       0.000000
       1.063000       0.729215       0.000000
       1.064000       0.729350       0.000000
       1.065000       0.729487       0.000000
       1.066000       0.729639       0.000000
       1.067000       0.729806       0.000000
       1.068000       0.729981       0.000000
       1.069000       0.730139       0.000000
       1.070000       0.730237       0.000000
       1.071000       0.730237       0.000000
       1.072000       0.730145       0.000000
       1.073000       0.730005       0.000000
       1.074000       0.729859       0.000000
       1.075000       0.729735       0.000000
       1.076000       0.729648       0.000000
       1.077000       0.729611       0.000000
       1.078000       0.729614       0.000000
       1.079000       0.729630       0.000000
       1.080000       0.729632       0.000000
       1.081000       0.729599       0.000000
       1.082000       0.729514       0.000000
       1.083000       0.729365       0.000000
       1.084000       0.729170       0.000000
       1.085000       0.728972       0.000000
       1.086000       0.728814       0.000000
       1.087000       0.728699       0.000000
       1.088000       0.728603       0.000000
       1.089000       0.728502       0.000000
       1.090000       0.728387       0.000000
       1.091000       0.728264       0.000000
       1.092000       0.728138       0.000000
       1.093000       0.728005       0.000000
       1.094000       0.727855       0.000000
       1.095000       0.727678       0.000000
       1.096000       0.727475       0.000000
       1.097000       0.727258       0.000000
       1.098000       0.727040       0.000000
       1.099000       0.726830       0.000000
       1.100000       0.726644       0.000000
       1.101000       0.726491       0.000000
       1.102000       0.726372       0.000000
       1.103000       0.726277       0.000000
       1.104000       0.726199       0.000000
       1.105000       0.726154       0.000000
       1.106000       0.726178       0.000000
       1.107000       0.726303       0.000000
